company,sentiment,id,text
apple,positive,126415614616154112,Now all @Apple has to do is get swype on the iphone and it will be crack. Iphone that is
apple,positive,126402758403305474,Hilarious @youtube video - guy does a duet with @apple 's Siri. Pretty much sums up the love affair! http://t.co/8ExbnQjY
apple,positive,126397179614068736,@RIM you made it too easy for me to switch to @Apple iPhone. See ya!
apple,positive,126379685453119488,The 16 strangest things Siri has said so far. I am SOOO glad that @Apple gave Siri a sense of humor! http://t.co/TWAeUDBp via @HappyPlace
apple,positive,126377656416612353,Great up close & personal event @Apple tonight in Regent St store!
apple,positive,126373779483004928,From which companies do you experience the best customer service aside from @zappos and @apple?
apple,positive,126366353757179904,"Just apply for a job at @Apple, hope they call me lol"
apple,positive,126365858481188864,Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to hide a body lolol
apple,positive,126360935509135362,"RT @PhillipRowntree: Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!"
apple,positive,126360398885687296,Wow. Great deals on refurbed #iPad (first gen) models. RT: Apple offers great deals on refurbished 1st-gen iPads http://t.co/ukWOKBGd @Apple
apple,positive,126358340220616704,"Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!"
apple,positive,126357982685569024,你好 ! Currently learning Mandarin for my upcoming trip to Hong Kong. I gotta hand it to @Apple iPhones & their uber useful flashcard apps  
apple,positive,126352268705538048,"Come to the dark side 📱“@gretcheneclark: Hey @apple, if you send me a free iPhone, I will publicly and ceremoniously burn my #BlackBerry.”"
apple,positive,126342268603998208,"Thanks to @Apple Covent Garden #GeniusBar for replacing my MacBook keyboard/cracked wristpad during my lunch break today, out of warranty."
apple,positive,126325800080392193,@DailyDealChat @apple Thanks!!
apple,positive,126324177501302784,iPads Replace Bound Playbooks on Some N.F.L. Teams http://t.co/2UXAWKwf @apple @nytimes
apple,positive,126322063332999169,@apple @siri is efffing amazing!!
apple,positive,126318009647235072,"RT @TripLingo: We're one of a few ""Featured Education Apps"" on the @Apple **Website** today, sweet! http://t.co/0yWvbe1Z"
apple,positive,126315223060709376,"We're one of a few ""Featured Education Apps"" on the @Apple **Website** today, sweet! http://t.co/0yWvbe1Z"
apple,positive,126315011600678913,"When you want something done right, you do it yourself... or go to @Apple. AT&T you're useless these days. #yourdaysarenumbered

"
apple,positive,126314687116750849,We did an unexpected workshop for the #iPhone4S at @apple yesterday and we got an awesome amount of info #notjustaboutthephone @gamerchik16
apple,positive,126311981564178432,---» RT @Apple No question bro. RT @AintEeenTrippin: Should I get dis iPhone or a EVO 3D?
apple,positive,126301956951117826,@Twitter CEO points to @Apple as 'corporate mentor' as @iOS signups triple http://t.co/GCY8iphN
apple,positive,126287654093471745,At the bus with my iPhone ;) thxx @apple
apple,positive,126284506360578049,"@azee1v1 @apple @umber AppStore is well done, so is iTunes on the mobile devices.  I was talking about desktop app."
apple,positive,126263834968211456,NYTimes: Coach Wants to See You. And Bring Your iPad. http://t.co/J2FTiEnG #iPad @apple set red 42 red 42 hut hut @NFL wish I had an #iPad
apple,positive,126256230397259776,@apple @jilive @DanielPink: Apple sells 4 million iPhone 4S units in first weekend ... Steve Jobs brilliance lives on for ever! #iphone #RVA
apple,positive,126195522691280896,@bkad5161 than apologize to @apple ;)
apple,positive,126183339945234432,@Apple downloads of iOS 5 are proving popular with users  -- http://t.co/NSHLfiUX
apple,positive,126180209501286400,"Lmfao look at the argument I had with Siri !!
@ijustine @apple http://t.co/D4VjL7SI"
apple,positive,126164430546403328,Incredible: 4 million iPhone 4Ss in 3 days. 135% better than the iPhone 4 http://t.co/1FMJxTMM @apple #iphone4s
apple,positive,126140794078892033,Well @apple fixed my #ios5 battery drain problem with a replacement iPhone 4 -- it's working like a champ now
apple,positive,126134400466419712,Currently ordering a BRAND NEW MACBOOK PRO!!! Bahhh... my MacBook is 5 years old. I'll miss it. But it's time. cc: @Apple -
apple,positive,126116898051076096,"#Siri now knows who my dad, mom, brother and girlfriend is.  Thanks @apple"
apple,positive,126116614495154176,Well at least the @apple store has amazing call waiting music! #need4s
apple,positive,126112836219973632,#sweet... #apple replaced my glass #probono. thank you @apple
apple,positive,126107965991297024,Not Bad! @Apple Sells Over 4 Million #IPhones in Debut Weekend - Bloomberg http://t.co/AVSl3ygU - #smartphone #sm RT @VinodRad
apple,positive,126104732426186752,"loving new technology from @apple iPhone 4s, mac air and iCloud are unreal #technology"
apple,positive,126097426493878272,I'm loving this new IOS5 update :) @apple
apple,positive,126095744531832832,Another mention for Apple Store: http://t.co/fiIOApKt - RT @floridamike Once again getting great customer service from the @apple store ...
apple,positive,126084907343691776,Time to go get my iPhone 4s.  Looking forward to sticking it to the man by no longer paying for most texts.  Thanks @apple.
apple,positive,126076743613284354,Thank you @apple. My new gf(iphone4s) is great!  She does everything!
apple,positive,126076238375817216,#iCloud set up was flawless and works like a champ! To the Cloud @Apple
apple,positive,126075534894571520,@Wisconsin_Mommy @Apple I'd totally email the company... I always get great service at our @Apple store!
apple,positive,126064519943426048,@apple loving the new IOS5 upgrade for the iPhone!
apple,positive,126063358037340161,Once again getting great customer service from the @apple store at millenia mall.
apple,positive,126059405941809152,Is it just me or is #iOS5 faster for the iPad? @apple
apple,positive,126057030996852737,making the switch from @Android to @Apple #iphone #iphone4S #smartphone #stevejobs (@ Apple Store) http://t.co/kj6pJvkH
apple,positive,126049183865114624,So THANKFUL for the incredible people @apple for going above and beyond and offering to and replacing my  water-damaged Macbook Pro!!! Wow!
apple,positive,126040074595999746,Play on ma man. Loving the camera in the #iphone4s. Well done @apple  #fb http://t.co/tmdFqRe1
